Data from T_1_D_MAYP1165941__0__19-49-53-042.txt Node

Date: Wed May 31 19:49:53 JST 2023
User: takis
Spectrometer: MAYP116594
Trigger mode: 0
Integration Time (sec): 5.000000E-2
Scans to average: 100
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
199.712	839.61
200.181	-155.22
200.65	30.61
201.119	-11.33
201.587	101.76
202.056	100.18
202.525	106.68
202.993	117.18
203.462	114.67
203.93	103.01
204.399	111.17
204.867	100.69
205.336	103.13
205.804	105.72
206.273	101.37
206.741	90.8
207.21	93.83
207.678	101.76
208.146	97.46
208.615	98.9
209.083	96.67
209.551	105.11
210.02	101.77
210.488	103.75
210.956	110.44
211.424	106.7
211.893	114.8
212.361	107.66
212.829	97.85
213.297	111.46
213.765	102.79
214.233	107.31
214.701	106.73
215.169	97.64
215.637	107.41
216.105	98.65
216.573	123.78
217.041	100.82
217.509	104.35
217.977	125
218.445	108.09
218.913	115.93
219.381	108.79
219.848	110.26
220.316	115.11
220.784	115.37
221.252	103.64
221.719	108.05
222.187	104.48
222.655	107.17
223.122	110.56
223.59	115.78
224.058	117.6
224.525	99.23
224.993	104.02
225.46	112.74
225.928	106.42
226.395	118.85
226.863	113.44
227.33	114.76
227.798	118.3
228.265	118.79
228.732	107.08
229.2	96.37
229.667	113.42
230.134	108.3
230.602	99.08
231.069	119.64
231.536	110.91
232.003	103.6
232.47	116.87
232.938	103.63
233.405	108.54
233.872	106.22
234.339	104.98
234.806	107.04
235.273	110.48
235.74	114.12
236.207	110.76
236.674	114.31
237.141	113.84
237.608	104.14
238.075	103.92
238.542	94.12
239.009	110.76
239.476	109.52
239.942	117
240.409	107.66
240.876	106.1
241.343	108.8
241.809	112.16
242.276	130.08
242.743	100.52
243.21	105.93
243.676	105.01
244.143	119.94
244.609	117.38
245.076	109.48
245.542	102.68
246.009	102.68
246.476	114.07
246.942	109.31
247.408	98.68
247.875	110.61
248.341	112.38
248.808	108.81
249.274	112.8
249.74	115.13
250.207	121.87
250.673	112.3
251.139	122.31
251.606	110.85
252.072	123.49
252.538	109.27
253.004	111.37
253.47	117.89
253.936	115.31
254.403	118.87
254.869	114.34
255.335	106.35
255.801	109.41
256.267	105.3
256.733	114.22
257.199	116.38
257.665	103.98
258.131	101.53
258.596	117.38
259.062	120.25
259.528	107.22
259.994	107.12
260.46	110.35
260.926	100.42
261.391	100.67
261.857	115.81
262.323	113.35
262.789	108.73
263.254	118.98
263.72	107.09
264.185	108.15
264.651	119.8
265.117	112.63
265.582	116.99
266.048	117.18
266.513	107.88
266.979	109.29
267.444	106.55
267.91	106.68
268.375	106.76
268.84	92.88
269.306	115.11
269.771	106.23
270.236	106.81
270.702	121.09
271.167	105.01
271.632	118.61
272.098	111.47
272.563	107.46
273.028	104.59
273.493	103.26
273.958	112.53
274.423	109.17
274.888	117.77
275.353	101.39
275.819	104.56
276.284	102.97
276.749	111.62
277.214	122.48
277.678	122.03
278.143	102.19
278.608	108.82
279.073	110.16
279.538	117.29
280.003	106
280.468	115.59
280.932	108.74
281.397	113.55
281.862	115.1
282.327	107.13
282.791	117.96
283.256	105.63
283.721	108.9
284.185	113.43
284.65	112.1
285.114	107.94
285.579	108.45
286.044	110.06
286.508	100.13
286.973	115.41
287.437	119.62
287.901	105.87
288.366	126.51
288.83	110.97
289.295	115.38
289.759	99.2
290.223	116.15
290.687	111.71
291.152	124.63
